pl_name,sy_snum,pl_orbper,pl_rade,pl_tranmid,ttv_flag,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,ra,dec,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_kmag,sy_umag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_kepmag,target
K2-19 c,1.0,11.90715,4.86,2456817.2755,1.0,0.22866,4.371,5430.0,0.86,0.93,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 c,1.0,11.8993,4.1,2456853.0007,1.0,0.60728,3.88556,5322.0,0.82,0.88,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 c,1.0,11.90727,4.51,2456817.2755,1.0,0.36356,3.2632800000000004,5390.0,0.913,0.949,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 c,1.0,11.90715,4.86,2456817.2755,1.0,0.22866,3.41788,5430.0,0.86,0.93,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 c,1.0,11.90724,4.93,2456817.27545,1.0,0.22866,3.823,5748.0,1.01,0.99,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 c,1.0,11.8993,4.1,2456853.0007,1.0,0.60728,3.88556,5322.0,0.82,0.88,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 c,1.0,11.90701,4.21,2456817.2759,1.0,0.22866,3.07968,5230.0,0.88,0.89,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 d,1.0,2.50856,1.14,2456808.9207,1.0,0.22866,2.17,5430.0,0.86,0.93,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 d,1.0,2.50856,1.14,2456808.9207,1.0,0.22866,3.41788,5430.0,0.86,0.93,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 d,1.0,2.508283,1.15876577,2456811.43072,1.0,0.36356,3.2632800000000004,5391.0,0.833805,0.895163,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 d,1.0,2.5081,1.11,2456854.0726,1.0,0.60728,3.48332,5322.0,0.82,0.88,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 d,1.0,2.5081,1.11,2456854.0726,1.0,0.60728,3.48332,5322.0,0.82,0.88,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-19 d,1.0,2.50858,1.22,2456811.4284,1.0,0.22866,1.93,5748.0,1.01,0.99,174.96025,0.6035972222222222,-18.7878,4.4152,289.827,3.42298,13.798,11.161,15.8639,11.105,11.152,10.922,8.978,12.8153,12.806,1
K2-199 b,1.0,3.225338,1.87,2457221.96346,0.0,1.260774,2.196,4648.0,0.68,0.73,208.90145833333327,-6.136083333333334,-59.2561,15.1982,107.518,9.27232,13.323,9.625,15.7495,9.542,9.609,9.514,8.827,11.9053,11.93,1
K2-199 b,1.0,3.2253993,1.73,2457218.73733,0.0,0.75622,2.017,4491.0,0.682,0.711,208.90145833333327,-6.136083333333334,-59.2561,15.1982,107.518,9.27232,13.323,9.625,15.7495,9.542,9.609,9.514,8.827,11.9053,11.93,1
K2-199 b,1.0,3.225286,1.74,2457221.9649,0.0,0.75622,2.22932,4507.0,0.68,0.69,208.90145833333327,-6.136083333333334,-59.2561,15.1982,107.518,9.27232,13.323,9.625,15.7495,9.542,9.609,9.514,8.827,11.9053,11.93,1
K2-199 b,1.0,3.225423,1.88203097,2457218.73787,0.0,1.384574,2.192256,4681.0,0.667422,0.705681,208.90145833333327,-6.136083333333334,-59.2561,15.1982,107.518,9.27232,13.323,9.625,15.7495,9.542,9.609,9.514,8.827,11.9053,11.93,1
K2-199 b,1.0,3.225349,1.9,2457221.96412,0.0,0.75622,2.04,4575.4,0.7,0.7107362,208.90145833333327,-6.136083333333334,-59.2561,15.1982,107.518,9.27232,13.323,9.625,15.7495,9.542,9.609,9.514,8.827,11.9053,11.93,1
K2-199 c,1.0,7.37442,2.67,2457222.93118,0.0,0.75622,2.31632,4507.0,0.68,0.69,208.90145833333327,-6.136083333333334,-59.2561,15.1982,107.518,9.27232,13.323,9.625,15.7495,9.542,9.609,9.514,8.827,11.9053,11.93,1
K2-199 c,1.0,7.374689,3.0,2457222.93038,0.0,0.75622,2.4504,4575.4,0.7,0.7107361999999999,208.90145833333327,-6.136083333333334,-59.2561,15.1982,107.518,9.27232,13.323,9.625,15.7495,9.542,9.609,9.514,8.827,11.9053,11.93,1
K2-199 c,1.0,7.3744828,1.765860992,2457687.52395,0.0,0.433458,2.54,4681.0,0.667422,0.705681,208.90145833333327,-6.136083333333334,-59.2561,15.1982,107.518,9.27232,13.323,9.625,15.7495,9.542,9.609,9.514,8.827,11.9053,11.93,1
K2-199 c,1.0,7.3744897,2.85,2457222.93034,0.0,0.75622,2.452,4491.0,0.682,0.711,208.90145833333327,-6.136083333333334,-59.2561,15.1982,107.518,9.27232,13.323,9.625,15.7495,9.542,9.609,9.514,8.827,11.9053,11.93,1
K2-199 c,1.0,7.374694,2.78,2457222.93041,0.0,1.277794,2.196,4648.0,0.68,0.73,208.90145833333327,-6.136083333333334,-59.2561,15.1982,107.518,9.27232,13.323,9.625,15.7495,9.542,9.609,9.514,8.827,11.9053,11.93,1
K2-199 c,1.0,7.374497,2.83685639,2457222.93002,0.0,1.384574,2.196,4681.0,0.667422,0.705681,208.90145833333327,-6.136083333333334,-59.2561,15.1982,107.518,9.27232,13.323,9.625,15.7495,9.542,9.609,9.514,8.827,11.9053,11.93,1
K2-203 b,1.0,9.695101,1.37068602,2457396.63878,0.0,0.04504,2.83824,5000.0,0.762994,0.793531,12.773708333333332,-1.1958833333333334,-11.2312,0.602072,166.147,5.99057,13.262,10.206,15.6852,10.145,10.217,10.1,8.659,12.1219,12.114,1
K2-205 b,1.0,26.672263,1.99552771,2457413.41914,0.0,0.12064,4.2216000000000005,5890.0,1.077574,0.951027,15.217583333333334,0.4259666666666666,23.9553,-8.27385,405.301,2.43932,12.99,10.879,15.9135,10.862,10.908,10.821,8.54,12.2509,12.25,1
K2-206 b,1.0,18.294549,2.79522879,2457396.57661,0.0,0.11028,2.5272,5043.0,0.758046,0.789481,11.256416666666668,0.5931861111111112,25.8867,-17.9454,244.443,4.06279,13.957,10.918,16.72,10.845,10.899,11.021,8.674,12.8274,12.826,1
K2-207 b,1.0,12.48749,2.60585269,2457403.64459,0.0,0.0591,3.7152,5522.0,0.928158,0.941851,11.699666666666667,0.6406194444444444,-12.646,-43.4963,363.064,2.72597,13.906,11.383,15.6392,11.338,11.397,11.214,8.384,12.9687,12.971,1
K2-208 b,1.0,4.190948,1.67866113,2457396.51164,0.0,0.3930999999999999,2.51232,5582.0,0.862368,0.925184,20.779,0.8890083333333333,-26.3462,-39.3816,256.887,3.86451,13.227,10.746,15.3656,10.697,10.739,10.645,8.617,12.3135,12.302,1
K2-209 b,1.0,2.080615,0.86850263,2457394.2331,0.0,0.13504,2.13072,4720.0,0.712365,0.74479,14.690333333333331,1.3828083333333334,-75.3148,-230.284,76.4986,13.0435,12.081,8.613,15.1943,8.555,8.612001,8.553001,8.172,10.7447,10.717,1
K2-210 b,1.0,0.570233,0.81864346,2457393.95803,0.0,0.0946279999999999,1.94736,5396.0,0.85179,0.911717,17.64125,1.5784138888888888,70.7469,31.919,176.51,5.6373,12.883,9.915,15.2959,9.877,9.929,9.998,8.599,11.5845,11.507,1
K2-210 b,1.0,0.57023,0.86,2457465.80382,0.0,0.096888,2.2676,5500.0,0.89,0.9194,17.64125,1.5784138888888888,70.7469,31.919,176.51,5.6373,12.883,9.915,15.2959,9.877,9.929,9.998,8.599,11.5845,11.507,1
